"","City","Year","Var.3","area.floor.commercial","area.floor.gross","area.floor.industrial","area.floor.residential","area.land","area.urbanised","bio","building.al.consume","building.al.import","building.al.prod","building.bricksAndOthers.consume","building.bricksAndOthers.import","building.bricksAndOthers.prod","building.cement.consume","building.cement.import","building.cement.prod","building.other.2.consume","building.other.2.imports","building.other.2.prod","building.steel.consume","building.steel.import","building.steel.prod","cereals.consume","cereals.import","cereals.prod","coal","coord.bodies","dairy.import","dairy.prod","degreeDays.cooling","degreeDays.heating","diary.consume","diesel","districtHeating.number","districtHeating.ownership","districtHeating.percentage","elec.buildings.PV","elec.coal","elec.consumption.agriculture","elec.consumption.bulkSupply","elec.consumption.comm","elec.consumption.energyIndustry","elec.consumption.exports","elec.consumption.govtAgriculture","elec.consumption.ind","elec.consumption.insitutional","elec.consumption.licenses","elec.consumption.losses","elec.consumption.other","elec.consumption.publicLIghting","elec.consumption.res","elec.consumption.social","elec.consumption.stat.comm","elec.consumption.stat.ind","elec.consumption.stat.res","elec.consumption.stat.resCom","elec.consumption.stat.transp","elec.consumption.transportation","elec.consumption.waterWorks","elec.distributers.dominant","elec.distributers.number","elec.distributers.ownership","elec.emissionsFactor","elec.emissionsFactor.gas","elec.feedInTarrifs","elec.gas","elec.grid","elec.growth","elec.hydro","elec.incentives","elec.independentGeneration","elec.losses","elec.nuclear","elec.oil","elec.other","elec.regulator","elec.renewable","elec.solar","elec.suppliers.dominant","elec.suppliers.number","elec.suppliers.ownership","elec.total.Gwh","elec.total.TJ","elec.vehicles.charging","elec.vehicles.number","elec.wind","energy.stat.heating.fuel","energy.stat.res.comm.heating","energy.total","energy.total.2001","energy.total.2006","energy.total.2011","energy.total.growth","energy.transp","energy.transp.growth","food.consume","food.import","food.prod","fruit.consume","fruit.import","fruit.prod","fuel.jet","fuel.marine","gas","gas.distributors.number","gas.distributors.ownership","gasoline","gas.regulator","gas.vehicles.number","gdp","gdp.growth","gdp.ppp","govt.metro","ict.internet","ict.mobiles","maize.consume","maize.import","maize.prod","meat.consume","meat.import","meat.prod","oil","other.CNG","other.consumption.stat.institutional","other.mobile.aviationGasoline","other.mobile.biodiesel","other.mobile.compressedNaturalGas","other.mobile.dieselOil","other.mobile.electricity","other.mobile.electricityMetro","other.mobile.electricTraction","other.mobile.ethanol","other.mobile.fuelOil","other.mobile.kerosene","other.mobile.LPG","other.mobile.LPGauto","other.mobile.mazut","other.mobile.naturalGas","other.mobile.oil","other.mobile.oilProducts","other.stat.coalProducts","other.stat.crudeOil","other.stat.diesel","other.stat.fuelOil","other.stat.furnaceOil","other.stat.greases","other.stat.heat","other.stat.kerosene","other.stat.LPG","other.stat.LPG.bulked.packed","other.stat.mineralOil","other.stat.misc","other.stat.oilProducts","other.stat.steam","other.stat.totalNonElectric","other.stat.townGas","paper.consume","paper.import","paper.prod","plastic.consume","plastic.import","plastic.prod","pop.brinkhoff","pop.density.survey","pop.density.worldbank","pop.growth","pop.survery","precip.annual","preparedFoods.consume","preparedFoods.import","preparedFoods.prod","pulses.consume","pulses.import","pulses.prod","random.consume","random.import","random.prod","rice.consume","rice.import","rice.prod","sawi.consume","sawi.import","sawi,prod","service.hoursNoElec","service.noDrinking","service.noGrid","service.noSewerage","service.noWasteCollection","service.noWater","service.wastewaterTreatment","snacks.consume","snacks.import","snacks.prod","solarRad.annual","solidFats.consume","solidFats,import","solidFats.prod","soybean.consume","soybean.import","soybean.prod","spinach.consume","spinach.import","spinach,prod","transportation (%)","unclear.consume","unclear.import","unclear.prod","veg.consume","veg.import","veg.prod","waste.growth","waste.incineration","waste.landfill","waste.other","waste.total","wastewater.collectors.number","wastewater.load","wastewater.ownership","wastewater.vol","water","water.distributors.number","water.distributors.ownership","water.growth","water.loss","water.loss.exc","water.loss.inc","water.loss.percent","water.production","water.production.ground","water.production.surface","water.regulator","waterSpinach.consume","waterSpinach.import","water.Spinach.prod","wheat.consume","wheat.import","wheat.prod"
"46","Moscow",2001,"","","","","","","","0","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","41115.1","26.36","","","","","","0","","","0","0","","","","41115.1","148014.36","","","0","0","","148014.36","148014.36","","","204.08","0","#DIV/0!","","","","","","","","","","","","","","","246348383154","169.71","246348383154","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10382754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","2777000","","","-46.13","","2777000","2777000","","","","","","","","","","",""
"47","Moscow",2006,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","49782",NA,NA,NA,NA,"6509.4",NA,"0",NA,NA,"0","0",NA,NA,NA,"49782","179215.2",NA,NA,"0","0",NA,"179215.2",NA,"179215.2",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"377606250502",NA,"377606250502",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"2634000",NA,NA,NA,NA,"2634000","2634000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Moscow",2011,"","","","","216000000","1080","737","0","","","","","","","","","","","","","","","","","","","0","N","","","50","4562","","","1-2","public","100","0","0","","","","","","","","","","","","","","","","","","","","","","Y","1-2","public","","","N","100","51954.3","","","N","0","4835.5","","0","","N","0","0","Y",">5","public","51954.3","187035.48","0","0","0","0","","450087.54","","","450087.54","","263052.06","","7278.4","7278.4","0","","","","","","","1-2","public","263052.06","N","unknown","664419868374","","664419868374","Y","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13600000","15609","5033","10.79","11503501","698","","","","","","","","","","","","","","","","","0","0","0","0","0","100","","","","1020.7","","","","","","","","","","","","","","","","","","598.2","4003.2","","4601.4","1-2","","public","","1496000","1-2","public","","","1496000","1496000","","","","","N","","","","","",""
"49","Mumbai",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","27321.97","","","","","63.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.29","","#DIV/0!","2.87","","","","1.81","","","","0","","","","","0","0","","","","30390.51","","82332.99","82332.99","","","30.02","51942.48","-39.52","","","","","","","29750.68","30967.53","685.08","","","13735.75","","","683197100000","122.84","50235080882","","","","","","","","","","","","","","","685.08","","na","","","","","10199.67","","0","","","","","","","1737.34","","11667.58","376.31","","","","14231.73","1692.47","","","","","","","","","","","","","","","","11978000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.35","0","","","3580","","na","","na","","","","#DIV/0!","","0","0","","","na","na","","","","","","",""
"50","Mumbai",2006,"","","","","","","","","","","","","","","","","","","","","","","","","","","na","","","","","","","25203.35","","","","","61.53","","","","","","","","","","","","","","","","","","","","","","","","","0.87","","","5.68","5533","","11.25","","","553.3","1.16","","","","0","","","","","5533","19918.8","","","","31330.91","","100482.4","","100482.41","","","49232.69","","","","","","","","48447.99","25416.62","4127.47","","","11031.95","","","2004830000000","","132770198675","","","","","","","","","","","","","","","4127.4","","na","","","","","8228.42","","641.58","","","","","","","834.68","","8476.94","75.6","","","","17357.52","458.71","","","","","","","","","","","","","","","","12200000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3580","","3750","","na","","940970","1642853","","","","328570.6","1642853","1971423.6","0.2","na","","1706653","","","","","","",""
"51","Mumbai",2011,"","","","","","603.4","na","","70","na","0","","","","9190","na","0","290","na","0","3160","na","0","1836.16","na","na","na","Y","na","na","1216","1","1385.28","15951.34","na","na","na","?","","","","38","","","","13","","","","","","49","","0.7","0.9","98.5","","","","","N","3-5","mix","0.79","","?","","12952","","","Y","","1295","","","","Y","0","","N","3-5","mix","12952","46627.2","","~0","","29005.39","28773.35","107048.82","","","107048.82","","31416.23","","","","","1065.6","na","na","23362.94","4502.94","4515.43","1-2","mix","7420.94","?","192269","2216470000000","","111942929293","Y","10","84","","","","732.6","na","na","","","","","","4515.43","","na","","","","","3405.06","","123.46","","","","","","","59.96","","5350.69","70.59","","","","18849.16","159.56","","","","","","","","","","","","22800000","#VALUE!","38926","4.18","12478447","3224.6","","","","200.04","na","na","","","","","","","","","","~0","20.53","18","64","48","20.53","94","","","","?","","","","","","","","","","","","","","1778.22","na","na","","0","3750","","5490","1-2","41.3","public","1036600","1725195","1-2","public","","345039","1725195","2070234","0.2","1706653","","1788995","?","","","","","",""
"52","New York City",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","0","","0","0","","","#DIV/0!","0","#DIV/0!","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21491898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"53","New York City",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22034147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40214.71",NA,NA,NA,NA,"10916721.94",NA,NA,NA,NA,"10916721.94","10916721.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","New York City",2011,"","","","","","","","785.58","","","","","","","","","","","","","","","","","","","","","","","133","2318","","176121.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28940.77","","","","","","","","","","148681.77","535254.38","","","","1247845.96","","2825894.71","","","2825894.71","","1042794.37","","","","","","","","","","914522.41","","","832926.06","","","","","","","","","","","","","","","295164.08","1493.15","","","","","","","","11614.54","20639.14","","","","","","","","","","","","","","","","","","","","10247.68","","27126.21","","","","","","","","","22200000","#DIV/0!","2148","3.36","22214518","1220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33203.38","","","","","","","","","","0","0","","","","","","","","","","",""
"55","Osaka",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","0","","0","0","","","#DIV/0!","0","#DIV/0!","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"56","Osaka",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Osaka",2011,"","","","","","","","","","","","","","","","","","","","","","","","","","","47529","","","","311","1728","","97915","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141311.39","","","","","?","","","","","23.61","","","","","141335","508806","","","","490071","","1296336","","","1296336","","297459","","","","","","","","","","7778","","","199544","","","","","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99150","","","","","","61547","","27726","","","","","","","246341","","","","","","","16800000","#DIV/0!","4415","#DIV/0!","17089000","1614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5853.8","960.21","","6814.01","","","","","2513773.97","","","","","2513773.97","2513773.97","","","","","","","","","","",""
"58","Paris",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","1428","","","","","","","127010","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","66062","3.17","15","","","","76","1","2","","54","0","","","","66116","238017.6","","","0","320428","","771507.6","771507.6","","","-2.89","213062","-3.17","","","","","","","200000","","266366","","","86052","","","420890000000","44.32","467655555556","","","","","","","","","","52634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rubber also given","","","","","","","11114790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.51","3536","1215","","4751","","122.8","","1250835","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"59","Paris",2006,NA,NA,NA,NA,NA,NA,NA,"3612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1092",NA,NA,NA,NA,NA,NA,"138096",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.41",NA,NA,"4","65546",NA,"12",NA,NA,NA,"78","2","3",NA,"57","0",NA,NA,NA,"65603","236170.8",NA,NA,"0","342358",NA,"784832.8",NA,"784832.8",NA,NA,"206304",NA,NA,NA,NA,NA,NA,NA,"253000",NA,"285574",NA,NA,"68208",NA,NA,"5.01e+11",NA,"556666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11532400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"180.2",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Paris",2011,"","196000000","","405000000","350000000","12011","2535","12012","","","","29122","12132","16990","2315","1615","700","","","","211","211","0","","","","1638","Y","","","24","2157","","138096",">5","public","unknown","25","","","","42","","","","13","","","","","","41","","30","15","56","","","","","Y","1-2","public","","","Y","","68215","","","Y","unknown","11500","","","","Y","","","Y","1-2","public","68215","245574","4800","10578","0.3","297318","255693.48","749196","","","749196","","206304","","10953","4578","6375","","","","253000","","242676","1-2","public","68208","Y","465","607439000000","","674932222222","N",">90",">90","","","","","","","40992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10400000","4676","3632","6.64","11852851","637.4","","","","","","","79490","55950","23540","","","","","","","0","0","100","0","0","0","100","","","","1117","","","","","","","","","","4","","","","","","","","3898","2635","","6533",">5","66.5","public","","1615054.36",">5","public","","97243","1615054.36","1712297.36","0.06","1736840.13","356430.37","1380409.76","N","","","","","",""
"61","Rio de Janeiro",2001,"","","","","","","","3938","","","","","","","","","","","","","","","","","","","12243","","","","","","","44899","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","17201","136.11","69.8","","","4348","10.2","7.6","0.4","","0","0","","","","17201","61923.6","","","0.1","93552","","249249.6","249249.6","","","57.02","93774","53.46","","","","","","","24186","","33996","","","31130","","","86400000000","88.19","86400000000","","","","","","","","","","21825","","","","","","","","","","","","","","","","9148","","","","","","","","","","","","","","","21550","","","","","","","","","","","","","","10869255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","0","","","0","","214","","599256","749070","","","37.39","880263","749070","1629333","1.175","1630333","0","1630333","","","","","","",""
"62","Rio de Janeiro",2006,NA,NA,NA,NA,NA,NA,NA,"4033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12186",NA,NA,NA,NA,NA,NA,"38173",NA,NA,NA,NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.3",NA,NA,"4","28798",NA,"84.6",NA,NA,"5650","3","2.6","4.2",NA,"0","0",NA,NA,NA,"28798","103672.8",NA,NA,"0.1","108580",NA,"317630.8",NA,"317630.8",NA,NA,"105378",NA,NA,NA,NA,NA,NA,NA,"21464","1655","51356",NA,NA,"29176",NA,NA,"1.104e+11",NA,"1.104e+11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18715",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8597",NA,NA,NA,NA,NA,"28749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11534047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","4041",NA,"4041",NA,"227",NA,"631833","789791",NA,NA,NA,"872546","789791","1662337","1.105","1662338","0","1662338",NA,NA,NA,NA,NA,NA,NA
"63","Rio de Janeiro",2011,"","","","","na","5327.84","1084.09","3505","","","","","","","2839","670","2169","","","","2573","-4173","6746","","","","17816","Y","","","385","37","","63312","","","","~0","1.4","","","27.5","","","","20.7","","","","","","35.5","","27.5","20.7","13.3","","1.3","","","Y","1-2","private","51.2","","Y","6.8","33241","","80.5","","~0","7372","2.7","3.6","4.7","Y","0","0","N","1-2","mix","40613","146206.8","~0","~0","0.4","101248","41309.18","391362.8","","","391362.8","","143908","","6902","6676","243","","","","32550","2586","52329","1-2","private","31717","Y","677628","162600000000","","162600000000","N","52","92","","","","","","","5623","","","","","","","","","","9280","","","","","","29502","","","","","","","","","","","","","","","21975","","","","","","","","","","12600000","10986","7354","9.57","11909897","1090","","","","","","","","","","","","","","","","na","11","~0","26","9","1","32","","","","1536.65","","","","","","","","","","1.34","","","","","","","","0","3629","","3629","","235","","823346","1029183","1-2","mix","","558059","1029183","1587242","0.542","1587241","0","1587241","Y","","","","","",""
"64","Sao Paulo",2001,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","~0","","","","","","","73422","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","37354","44.11","69.8","","","3735","10.2","7.6","0.4","","0","0","","","","37354","134474.4","","","0.1","85166","","417160.4","417160.4","","","37.98","197520","34.48","","","","","","","55123","","17362","","","95961","","","158500000000","161.58","158500000000","","","","","","","","","","20361","","","","","","","","","","25239","","","","","","2898","","","","","","","","","","","","","","","47443","","","","","","","","","","","","","","17882322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","352","","770109","962637","","","21.51","740748","962637","1703385","0.769","1703385","","","","","","","","",""
"65","Sao Paulo",2006,"","","","","","","","~0","","","","","","","","","","","","","","","","","","","~0","","","","","","","75222","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","32.3","","","4","45555","","84.6","","","4556","3","2.6","4.2","","0","0","","","","45555","163998","","","0.1","93139","","478514","","478514","","","221377","","","","","","","","67694","","42534","","","89300","","","266200000000","","266200000000","","","","","","","","","","5245","","","","","","","","","","45628","","","","","","11227","","","","","","","","","","","","","","","45360","","","","","","","","","","","","","","19189471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4496","","4496","","378","","829763","1037204","","","","852589","1037204","1889793","0.822","1889793","","","","","","","","",""
"66","Sao Paulo",2011,"","na","","na","na","7946.82","1957.48","~0","","","","","","","8176.81","3108","5069","","","","4281.67","1039","3243","","","","~0","Y","","","120","495","","76100","","","","~0","1.4","","","25.8","","","","30","","","","","","34.3","","4.5","47","22.9","","","","","Y","3-5","private","51.2","","Y","6.8","53830","","80.5","","~0","5382.98","2.7","3.6","4.7","Y","0","0","N","1-2","private","53830","193788","~0","~0","0.4","116172","31831.13","575582","","","575582","","265622","","11488","11206","282","","","","94589","","45901","1-2","private","108785","Y","108871","414600000000","","414600000000","N","60","94","","","","","","","2656","","","","","","","","","","74854","","","","","","5883","","","","","","","","","","","","","","","67615","","","","","","","","","","20900000","10127","9456","10.85","19822559","1350","","","","","","","","","","","","","","","","na","2","0","8","5","<1","43","","","","1511.1","","","","","","","","","","na","","","","","","","","","5836","","5836","","391","","935732","1169665",">5","mix","","835333","1169665","2004998","0.714","2004999","","","Y","","","","","",""
"67","Seoul",2001,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","0","0","","","","0","","0","0","","","#DIV/0!","0","#DIV/0!","","","","","","","","","","","","","","","","#DIV/0!","","","","","","","","","","","","","","","","","","","","","","","","","","","natural gas","","scaled from nat. data","","","","","","","","Yr 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","0","","","","","","","","#DIV/0!","","0","0","","","","","","","","","","",""
"68","Seoul",2006,"","","","","","","","1.53","","","","","","","","","","","","","","","","","","","7506.1","","","","","","","6166.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41824","","","","","7793.51","","","","","","","","","","41824","150566.4","","","","230811.73","","397823.3","","397823.31","","","16445.17","","","","","","","","","","192529.8","","","5182","","","220134000000000","","284117191533","","","","","","","","","","30774.31","","","","","","","","","","","","","","","","scaled from nat. data","","","","","","","","","","scaled","","","","","","","","","","","","","","","","","","","10358560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320.56","2570.68","","2891.24","","231.41","","19469.1","1120437","","","","112556","1120437","1232993","0.1","1246237","28195","","","","","","","",""
"69","Seoul",2011,"","","616870773","","","605.96","363.14","0.96","","","","","","","","","","","","","","","","","","","5793.77","","","","59","2870","","5147.92","1-2","public","","unknown","","","","","","7.6","","4.8","","","","","","27.6","","","8.7","","46.4","39.3","60","","","1-2","public","","","Y","","46903","","","","unknown","10220.49","","","","Y","","","Y","1-2","public","46903","168850.8","384","33","","231688.69","107503.55","414614.55","","","414614.55","","14075.06","","","","","","","","","","197080.92","1-2","public","5138.55","","","282944000000000","","339668667467","","75.1","","","","","","","","28813.04","","5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24200000","28994","9075","#DIV/0!","10528774","2039.3","","","","","","","","","","","","","","","","0","0","0","0","0","0","100","","","","1333","","","","","","","","","","","","","","","","","","726.13","1930.98","","2657.11","1-2","166.08","public","23161.81","1105221","1-2","public","","45117","1105221","1150338","0.041","1187287","22437","","","","","","","",""
"70","Shanghai",2001,"","148490000","383240000","","234750000","6340.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","96133.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56130","126.11","","","","3169","","","","","","","","","","56130","202068","","","","757084.16","","1162165.34","1162165.34","","","82.32","203013.18","236.64","","","","","","","these data already counted in lines 56 and 57","","","","","59148.031","","","521012000000","189.48","157882424242","","","","","","","","","","","","","","","","","","","","","22350.65","25381.15","","","","","","","","","","","","","","","","","","","","","757084.16","","","","","","","","","","","","16683300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","#DIV/0!","","","","","","305","","1950000","","","","#DIV/0!","","0","10629000","","11036000","73000","10963000","","","","","","",""
"71","Shanghai",2006,"","294250000","702820000","","408570000","6340.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","156933.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93864","","","","","5151","","","","","","","","","","93864","337910.4","","","","1064682.56","","1857799.26","","1857799.26","","","455206.3","","","","","","","","see survey","","","","","115743.080700228","","","1057224000000","","302064000000","","","","","","","","","","","","","","","","","","","","","64095.56","118433.89","","","","","","","","","","","","","","","","","","","","","1064682.56","","","","","","","","","","","","19641100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1145","2088","579","3233","","301.98","","2216000","9482600","","","","1673400","9482600","11156000","0.176","11857000","57000","11800000","","","","","","",""
