"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"Operation optimization of existing district heating systems",,,,,,,,,,,,"CUT",,,,,"other"
"ANN-GA based optimization of a high ash coal-fired supercritical power plant",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the adsorption of phosphorus by water plant sludge using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal synthesis and design of Heat Recovery Steam Generation (HRSG) via mathematical programming",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of roselle drying time and drying quality",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated prediction and optimization model of biogas production system at a wastewater treatment facility","fuel production","biogas production","single",,"none","plant","wastewater (paramater optimisation of the AD component, e.g. pH, total solids etc.)","optimisation","PSO",2,"energy, waste","optimal parameters for biogas production","low","operating conditions","plant","plant","other"
"Cost optimization of a cogeneration plant operation | Optimiranje pogonskog re≈æima kogeneracijskog postrojenja po kriteriju tro≈°ka",,,,,,,,,,,,"CUT",,,,,"other"
"Thermal performance optimization of hollow clay bricks made up of paper waste",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of hydrogen production from supercritical water gasification of crude glycerol-byproduct of biodiesel production","fuel production","hydrogen production","single",,"none","plant","parameter optimisation, for production from crude glycerol via gasification","concrete statistical","CUT – response surface methodology",2,"energy, waste","optimal parameters for hydrogen from crude gylcerol (a byproduct of biodiesel production)","low","operating conditions","plant","plant","other"
"Energy and exergy analysis and optimization of Kalina cycle coupled with a coal fired steam power plant",,,,,,,,,,,,"CUT",,,,,"other"
"Global optimization of wastewater integration networks for processes with multiple contaminants","wastewater","process industry","single","products","integrated","system","process industry","optimisation","MILP",2,"various, waste","superstructure of water and wastewater streams","high","sink/source superstructure","chemical plant","refinery/chem. plant","water n/w integration"
"Sequential modelling of thermal energy: New potential for energy optimisation in papermaking",,,,,,,,,,,,"CUT",,,,,"other"
"Biomass power plant site selection modeling and decision optimization","energy","biomass energy system","single","agriculture, transport","integrated","system","integrated with biomass system (so optimize for location, transport etc.)","optimisation","LP",3,"energy, various, waste","optimal site location (given transport etc.) of multiple biomass plants, for multiple economic and environmental objectives","high","optimising plant siting","regional","region","energy-* integration"
"A Robust Inexact Joint-optimal Œ± cut Interval Type-2 Fuzzy Boundary Linear Programming (RIJ-IT2FBLP) for energy systems planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of bio-oil yields by demineralization of low quality biomass","fuel production","Bio-oil","single",,"none","plant","biomass pyrolysis parameter optimisation","concrete","CUT – experimental",3,"energy, various, waste","optimal parameters to optimise bio-oil yields from residues and energy crops","low","operating conditions","plant (lab test)","plant","other"
"Multi-objective optimization of absorption refrigeration systems involving renewable energy",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimization of solid oxide fuel cell-based combined cycle cogeneration plant",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of regional energy supply chains utilising renewables: P-graph approach",,,,,,,,,,,,"CUT",,,,,"other"
"An inexact robust nonlinear optimization method for energy systems planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"An entropy generation and genetic algorithm optimization of two-bed adsorption cooling cycle",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal model for multivariate water supply system under uncertainty",,,,,,,,,,,"can't access paper","CUT",,,,,"other"
"Optimal operation strategy of the hybrid heating system composed of centrifugal heat pumps and gas boilers",,,,,,,,,,,,"CUT",,,,,"other"
"Thermo-economic optimization of a Solid Oxide Fuel Cell - Gas turbine system fuelled with gasified lignocellulosic biomass",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic analysis and optimization of a flash-binary geothermal power generation system",,,,,,,,,,,,"CUT",,,,,"other"
"Removal of acid orange 7 by guava seed carbon: A four parameter optimization study",,,,,,,,,,,,"CUT",,,,,"other"
"Energy performance optimization of radiant slab cooling using building simulation and field measurements",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation model for integration of cooling and heating systems in large industrial plants",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the performance of Chitosan for the nickel removal from wastewater",,,,,,,,,,,,"CUT",,,,,"other"
"Solar radiation disinfection of drinking water at temperate latitudes: Inactivation rates for an optimised reactor configuration",,,,,,,,,,,,"CUT",,,,,"other"
"Strategy for optimal operation of a biomass-fired cogeneration power plant","energy","energy","single",,"none","plant","biomass powered, plant parameter optimisation (e.g. thermal load of boiler)","simulation","simulation",2,"energy, various","optimal parameters for operation (e.g. thermal loads)","low","operating conditions","plant","plant","other"
"Optimization of frequency on ultrasonic disintegration of waste activated sludge",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling and optimization of energy-efficient procedures for removing lead(II) and zinc(II) ions from aqueous solutions using the central composite design",,,,,,,,,,,,"CUT",,,,,"other"
"Techno-economical optimization of Reactive Blue 19 removal by combined electrocoagulation/coagulation process through MOPSO using RSM and ANFIS models",,,,,,,,,,,,"CUT",,,,,"other"
"Energy configuration and operation optimization of refinery fuel gas networks",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of Combustion Performance of Bioethanol (Water Hyacinth) Diesel Blends on Diesel Engine Using Response Surface Methodology",,,,,,,,,,,,"CUT",,,,,"other"
"A new approach for optimization of combined heat and power generation in edible oil plants",,,,,,,,,,,,"CUT",,,,,"other"
"A stepwise-inference-based optimization system for supporting remediation of petroleum-contaminated sites",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal Design of Detention Rockfill Dams Using a Simulation-Based Optimization Approach with Mixed Sediment in the Flow",,,,,,,,,,,,"CUT",,,,,"other"
"A pseudo-optimal inexact stochastic interval T2 fuzzy sets approach for energy and environmental systems planning under uncertainty: A case study for Xiamen City of China",,,,,,,,,,,,"CUT",,,,,"other"
"A robust inexact Type-2 Fuzzy Sets Linear Optimization Programming for irrigation water system management under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Defining optimal configurations of geothermal systems using process design and process integration techniques",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of electrocoagulation process for the treatment of metal cutting wastewaters with response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Identifying the microbial communities and operational conditions for optimized wastewater treatment in microbial fuel cells",,,,,,,,,,,,"CUT",,,,,"other"
"Disinfection optimization by a better control of ozonation process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimised photocatalytic degradation of a mixture of azo dyes using a TiO 2/H 2O 2/UV process",,,,,,,,,,,,"CUT",,,,,"other"
"Biomass-to-bioenergy and biofuel supply chain optimization: Overview, key issues and challenges","fuel production","biofuel supply chain selection from generalised superstructrue","single","agriculture, energy, biorefinery, transport","integrated","system","supply chain, mutliple feedstocks, to identify the best processes for the chain","misc.","no optimisation method applied",3,"energy, various, waste","optimise pathways","high","sink/source superstructure","regional supply chain","region","biomass-* integration"
"Multi-objective optimization for free-phase LNAPL recovery using evolutionary computation algorithms",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation-based process optimization for surfactant-enhanced aquifer remediation at heterogeneous DNAPL-contaminated sites",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization for cogeneration systems in buildings based on life cycle assessment",,,,,,,,,,,,"CUT",,,,,"other"
"Cost optimization of DNAPL source and plume remediation under uncertainty using a semi-analytic model",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal molecular design of working fluids for sustainable low-temperature energy recovery",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization for design problems having more than one objective",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated simulation and optimization modeling approach for environmental planning in new urban areas",,,,,,,,,,,"can't access paper","CUT",,,,,"other"
"Energetic optimization of wet air oxidation process using experimental design coupled with process simulation",,,,,,,,,,,,"CUT",,,,,"other"
"Process integration and optimization of a solid oxide fuel cell - Gas turbine hybrid cycle fueled with hydrothermally gasified waste biomass","fuel production","biofuel production","single",,"none","plant","biomass gasification parameter optimisation","optimisation","GA",2,"energy, waste","optimal parameters for gasification of waste biomass to fuels","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Groundwater optimization model for sustainable management of the Valley of Puebla aquifer, Mexico",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design and control of solar driven air gap membrane distillation desalination systems",,,,,,,,,,,,"CUT",,,,,"other"
"Fluids and parameters optimization for the organic Rankine cycles (ORCs) used in exhaust heat recovery of Internal Combustion Engine (ICE)",,,,,,,,,,,,"CUT",,,,,"other"
"Many-objective optimization and visual analytics reveal key trade-offs for London's water supply",,,,,,,,,,,,"CUT",,,,,"other"
"Identification of optimal strategies for energy management systems planning under multiple uncertainties",,,,,,,,,,,,"CUT",,,,,"other"
"Managing the environmental problem of seawater intrusion in coastal aquifers through simulation-optimization modeling",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of production conditions for activated carbons from Tamarind wood by zinc chloride using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Weight and power optimization of steam bottoming cycle for offshore oil and gas installations",,,,,,,,,,,,"CUT",,,,,"other"
"Energy optimization in a pulp and paper mill cogeneration facility","energy","Pulp/paper, energy","single","products","integrated","plant","pulp/paper mill, design/pperation parameters to maximise heat recovery when installing CHP into pulp/paper mill","optimisation","LP",2,"energy, various","optimal parameters for CHP, using waste steam from pulp and paper mills","medium","flows with a little detail on operating conditions","plant (multiple components)","plant (multiple components)","other"
"Parameter analysis and optimal design for two-stage thermoelectric cooler",,,,,,,,,,,,"CUT",,,,,"other"
"Response surface modeling and optimization of chromium(VI) removal from aqueous solution using Tamarind wood activated carbon in batch process",,,,,,,,,,,,"CUT",,,,,"other"
"Biomass-to-electricity: Analysis and optimization of the complete pathway steam explosion - enzymatic hydrolysis - anaerobic digestion with ICE vs SOFC as biogas users","energy","electricity from biomass","single","NA","none","system","biomass pathway","simulation","simulation based on experiment",3,"energy, various, waste","optimal quantities and parameters","low","operating conditions","plant (multiple components)","plant","other"
"Optimisation of reactive dye removal by sequential electrocoagulation- flocculation method: Comparing ANN and RSM prediction",,,,,,,,,,,,"CUT",,,,,"other"
"Enzymatic hydrolysis and fermentation of seaweed solid wastes for bioethanol production: An optimization study","fuel production","bioethanol production","single",,"none","plant","waste, optimial parameters","concrete","CUT – experimental",2,"energy, waste","optimal parameters (e.g. area) for energy and water savings","low","operating conditions","plant","plant","other"
"Integrated modeling for optimal municipal solid waste management strategies under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation-optimization model for water management in hydraulic fracturing operations","water","hydraulic fracking","single","wastewater, groundwater","integrated","system","hydraulic fracturing, using groundwater recovery","optimisation","GA",3,"energy, water, waste","Combining recovered water and other water for hydraulic fracturing. (Can only access abstract.)","low","operating conditions","plant","plant","other"
"Anaerobic digestion of slaughterhouse solid waste for the optimization of biogas production","fuel production","biogas production","single",,"none","plant","Treating (slaughterhouse) waste, parameter optimization","concrete","CUT – experimental",2,"energy, waste","optimal parameters to maximise biogas production","low","operating conditions","plant","plant","other"
"Optimization of performance of Combined Solar Collector-Geothermal Heat Pump Systems to supply thermal load needed for heating greenhouses",,,,,,,,,,,,"CUT",,,,,"other"
"Trade-off between water pollution prevention, agriculture profit, and farmer practice‚Äîan optimization methodology for discussion on land-use adjustment in China",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of parameters using response surface methodology and genetic algorithm for biological denitrification of wastewater",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biogas production from olive-oil mill wastewater, by codigesting with diluted poultry-manure","fuel production","biogas production","single",,"none","plant","wastewater, manure, parameter optimization","concrete","CUT – experimental",2,"energy, waste","optimal parameters to maximise biogas production","low","operating conditions","plant","plant","other"
"Optimization of an absorption heat transformer with two-duplex components using inverse neural network and solved by genetic algorithm",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of recovery boiler plant air systems by new design method and process integration",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of a Swedish district heating system with reduced heat demand due to energy efficiency measures in residential buildings",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of the parameters for decolourization by Aspergillus niger of anaerobically digested distillery spentwash pretreated with polyaluminium chloride",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of process topology using pinch analysis",,,,,,,,,,,,"CUT",,,,,"other"
"A passive design strategy for a horizontal ground source heat pump pipe operation optimization with a non-homogeneous soil profile",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation-based optimization of dual-phase vacuum extraction to remove nonaqueous phase liquids in subsurface",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of preparation conditions of activated carbon from agriculture waste utilizing factorial design",,,,,,,,,,,,"CUT",,,,,"other"
"To connect or not to connect? Modelling the optimal degree of centralisation for wastewater infrastructures",,,,,,,,,,,"NA","CUT",,,,,"other"
"Design method for the optimization of district heating systems using mixed integer linear programming",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of naproxen and ibuprofen removal in photolysis using a Box-Behnken design: Effect of Fe(III), NO 3-, and humic acid",,,,,,,,,,,,"CUT",,,,,"other"
"Parameters optimization and theoretical model of heat-mass transfer in a spray heat exchanger attaching to a main fan diffuser",,,,,,,,,,,,"CUT",,,,,"other"
"Electrocoagulation of tannery wastewater using monopolar electrodes: Process optimization by response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Application of Central Composite Design approach for removal of chromium (VI) from aqueous solution using weakly anionic resin: Modeling, optimization, and study of interactive variables",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of regional economic and environmental systems under fuzzy and random uncertainties",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation and significance of ATP analysis for measuring active biomass in granular activated carbon filters used in water treatment",,,,,,,,,,,,"CUT",,,,,"other"
"Bi-level fuzzy optimization approach for water exchange in eco-industrial parks","water","minimise freshwater consumption in EIP","single","products","integrated","system","within EIP (multiple plants, each with their own concerns)","optimisation","NLP",3,"various, waste, water","optimal reuse of water and exchanges to minimise freshwater consumption","high","sink/source superstructure","EIP","EIP","water n/w integration"
"Thermal optimization of combined heat and power (CHP) systems using nanofluids",,,,,,,,,,,,"CUT",,,,,"other"
"Defining a quantitative framework for evaluation and optimisation of the environmental impacts of mega-event projects",,,,,,,,,,,,"CUT",,,,,"other"
"A simultaneous optimization approach for the design of wastewater and heat exchange networks based on cost estimation","energy, wastewater","process industry","energy, wastewater","products","highly integrated","system","Process industry, simultaneous","optimisation","MINLP",3,"energy, various, waste","simultaneously optimize heat exchanger and wastewater networks (where water is used for heating), before water is finally discharged. Minimise total cost. E.g. minimising the temperature differentials to be overcome.","high","sink/source superstructure","process industry plant","refinery/chem. plant","energy-* integration"
"Adaptation of urine source separation in tropical cities: Process optimization and odor mitigation",,,,,,,,,,,,"CUT",,,,,"other"
"Mixed matrix membrane application for olive oil wastewater treatment: Process optimization based on Taguchi design method",,,,,,,,,,,,"CUT",,,,,"other"
"The use of nonlinear programming to optimal water allocation",,,,,,,,,,,,"CUT",,,,,"other"
"Experimental optimization of activated carbon synthesis by the simplex search method",,,,,,,,,,,,"CUT",,,,,"other"
"Numerical optimisation of excess air with respect to fibre-to-shell ratio during incineration process",,,,,,,,,,,,"CUT",,,,,"other"
"Genetic optimization of steam multi-turbines system",,,,,,,,,,,,"CUT",,,,,"other"
"Superstructure-free synthesis and optimization of thermal power plants",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of biological elimination of ammonia and chemical oxygen demand from wastewater using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling and Optimization of Biohydrogen Production from De-oiled Jatropha Using the Response Surface Method",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of electro-oxidation process for the treatment of Reactive Orange 107 using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of plant coverage in relation to water balance in the Loess Plateau of China",,,,,,,,,,,,"CUT",,,,,"other"
"4E analysis and multi-objective optimization of an integrated MCFC (molten carbonate fuel cell) and ORC (organic Rankine cycle) system",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis and optimization of the low-temperature solar organic Rankine cycle (ORC)",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of process factors for the efficient generation of biogas from raw vegetable wastes under the direct influence of plastic materials using Taguchi methodology","fuel production","biogas production","single",,"none","plant","waste, parameter optimisation of plant","concrete","Experimental",2,"energy, waste","optimal parameters to maximise biogas production","low","operating conditions","plant","plant","other"
"A computationally efficient approach for watershed scale spatial optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal integration of gaseous emissions from new industrial plants with the surroundings",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal production of renewable hydrogen based on an efficient energy management strategy","fuel production","H production","single",,"none","plant","plant parameter optimistion (electrolysis and solar power)","optimisation","unknown mathematical programming method",2,"energy, water","optimal water electrolysis (+solar power), to maximise hydrogen production","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Optimization models for Beijing's generation expansion planning under uncertainties",,,,,,,,,,,,"CUT",,,"energy only",,"other"
"Multi-objective optimal layout of distributed storm-water detention",,,,,,,,,,,,"CUT",,,,,"other"
"Interval-based air quality index optimization model for regional environmental management under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Operating point optimization of a hydrogen fueled hybrid solid oxide fuel cell-steam turbine (SOFC-ST) plant",,,,,,,,,,,,"CUT",,,,,"other"
"Research on a carbon reduction optimization model for a megalopolis based on land-use planning and ICCLP method",,,,,,,,,,,,"CUT",,,,,"other"
"A 1kWe thermoelectric stack for geothermal power generation - Modeling and geometrical optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of water reuse network using water pinch method in duplex board mill",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of decolourisation and degradation of Reactive Black 5 dye under electro-Fenton process using Fe alginate gel beads",,,,,,,,,,,,"CUT",,,,,"other"
"Entropy parameters for falling film absorber optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling and optimization of biogas production from rice mill effluent using up flow anaerobic sludge blanket reactor","fuel production","biogas production","single",,"none","plant","wastewater, plant parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters to maximise biogas production","low","operating conditions","plant","plant","other"
"Optimization Study: Biological Removal of Inorganic Nitrogen along with Chemical Oxygen Demand from Wastewater Using Response Surface Methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Finding best practices for automotive glazing recycling: A network optimization model",,,,,,,,,,,,"CUT",,,,,"other"
"Theoretical analysis and optimization of a double-effect series-flow-type absorption chiller",,,,,,,,,,,,"CUT",,,,,"other"
"Environmental biological model based on optimization of activated sludge process",,,,,,,,,,,,"CUT",,,,,"other"
"The effect of wind on the optimal design and performance of a modular air-cooled condenser for a concentrated solar power plant",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of methane producing UASB reactor using a combined pareto multi‚Äìobjective differential evolution algorithm (CPMDE)",,,,,,,,,,,,"CUT",,,,,"other"
"Electrochemical oxidation of low phenol concentration on boron doped diamond anodes: optimization via response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China",,,,,,,,,,,,"CUT",,,,,"other"
"Fuzzy constrained optimization of eco-friendly reservoir operation using self-adaptive genetic algorithm: A case study of a cascade reservoir system in the Yalong River, China",,,,,,,,,,,,"CUT",,,,,"other"
"Parametric analysis and optimization of regenerative Clausius and organic Rankine cycles with two feedwater heaters using artificial bees colony and artificial neural network",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal orientation of a liquid-film solar-assisted brine concentrator",,,,,,,,,,,,"CUT",,,,,"other"
"A stochastic optimization approach for paper recycling reverse logistics network design under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis and optimization control of the continuous step feed biological nitrogen and phosphate removal process",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal process design for the polygeneration of SNG, power and heat by hydrothermal gasification of waste biomass: Thermo-economic process modelling and integration","energy","energy","single",,"none","plant","waste gasification","optimisation","MILP",2,"energy, waste","optimal technology choice from range of canditates","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"The optimization of the paddy field irrigation scheduling using mathematical programming",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis of the performances of biogas-fuelled micro gas turbine cogeneration systems (MGT-CGSs) in middle- and small-scale sewage treatment plants: Comparison of performances and optimization of MGTs with various electrical power outputs","energy","energy","single",,"none","plant","Optimise cogen sizing within sewage treatment","concrete","CUT – experimental, mathematical description",2,"energy, waste","optimal sizing of generations system","low","operating conditions","plant (optimal sizing of components)","plant (multiple components)","other"
"Optimal water system topology through genetic algorithm under multiple contaminated-water sources constraint",,,,,,,,,,,,"CUT",,,,,"other"
"Life cycle assessment and its application to process selection, design and optimisation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of fermentative biohydrogen production by response surface methodology using fresh leachate as nutrient supplement","fuel production","H production","single",,"none","plant","leachate","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters to maximise biohydrogen production","low","operating conditions","plant","plant","other"
"A global optimal formulation for the water integration in eco-industrial parks considering multiple pollutants","water","EIP. Note focus on modelling pollutants.","single","products","integrated","system","EIP","optimisation","MILP",3,"various, waste, water","superstructure allowing reuse within plant, or exchange with others, still satisfying process requirements and environmental constraints.","high","sink/source superstructure","EIP (water network)","EIP","water n/w integration"
"Thermodynamic optimization of several (heat recovery steam generator) HRSG configurations for a range of exhaust gas temperatures",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization and characterization of bio-oil produced by microwave assisted pyrolysis of oil palm shell waste biomass with microwave absorber","fuel production","Bio-oil","single",,"none","plant","waste pyrolysis, parameter optimisation","concrete statistical","CUT – response surface methodology, experimental",2,"energy, waste","optimal parameters to maximise bio-oil production","low","operating conditions","plant","plant","other"
"Cooling capacity optimization of a waste heat absorption refrigeration cycle",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of wind turbine inspection intervals",,,,,,,,,,,,"CUT",,,,,"other"
"A zinc oxide-coated nanoporous carbon adsorbent for lead removal from water: Optimization, equilibrium modeling, and kinetics studies",,,,,,,,,,,,"CUT",,,,,"other"
"Dynamic simulation and exergo-economic optimization of a hybrid solar-geothermal cogeneration plant",,,,,,,,,,,,"CUT",,,,,"other"
"Nanofiltration of oily wastewater containing salt; experimental studies and optimization using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Applying different optimization approaches to achieve optimal configuration of a dual pressure heat recovery steam generator",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic modelling and optimization of a dual pressure reheat combined power cycle",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of waste collection and disposal in Kampala city",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of binary cycle power plants for water-dominated, medium-temperature geothermal fields",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal sequencing of water supply options at the regional scale incorporating alternative water supply sources and multiple objectives",,,,,,,,,,,"energy, water","CUT",,,"meeting demand from various water sources (not integrated management)",,"other"
"Fuzzy chance-constrained linear fractional programming approach for optimal water allocation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of marine waste based-growth media for microbial lipase production using mixture design methodology",,,,,,,,"CUT","CUT",2,"energy, various","CUT",,,"processing (plant?)","plant","other"
"Photocatalytic discoloration of Methyl Orange by anatase/schorl composite: Optimization using response surface method",,,,,,,,,,,,"CUT",,,,,"other"
"Inter-plant water conservation by process optimization: Case study for a Chinese alumina industry","water","aluminium industry. Note focus on modelling contaminants, using MILP","single","products","integrated","system","couple sinks and source between two plants. Uses MINLP to “deal with multiple contaminants”","optimisation","MINLP (“can deal with multiple contaminants”)",2,"waste, water","sinks and sources of two plant, considered in optimization program, to minimise freshwater consumption and wastewater discharge","high","sink/source superstructure","coupled plants (multiple components)","plant (couple)","other"
"Modeling and optimization of cross-flow ultrafiltration using hybrid neural network-genetic algorithm approach",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of switchgrass and extruder parameters for enzymatic hydrolysis using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"A case study of fuel savings through optimisation of MSW transportation routes",,,,,,,"CUT – can't access",,,2,"energy, waste","CUT",,,"regional","region","energy-* integration"
"Optimization of denitrification biofilter process using response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Application of particle swarm optimization to interpret Rayleigh wave dispersion curves",,,,,,,,,,,,"CUT",,,,,"other"
"A model for optimization of the productivity and bioremediation efficiency of marine integrated multitrophic aquaculture",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of wastewater treatment alternative selection by hierarchy grey relational analysis",,,,,,,,,,,,"CUT",,,,,"other"
"Blade profile optimization of pump as turbine",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling and optimization of fermentative hydrogen production",,,,,,,,,,,,"CUT",,,,,"other"
"Intelligent computer simulation and optimization of the methanol-water distillation system and application of BH high efficiency gasket-packing in the technical reformation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal simultaneous production of i-butene and ethanol from switchgrass",,,,,,,,,,,,"CUT",,,,,"other"
"Inverse problem method applied to flow field optimization of proton exchange membrane fuel cells",,,,,,,,,,,,"CUT",,,,,"other"
"Study on the development of an optimal heat supply control algorithm for group energy apartment buildings according to the variation of outdoor air temperature",,,,,,,,,,,,"CUT",,,,,"other"
"Optimisation of corn straw biochar treatment with catalytic pyrolysis in intensive agricultural area",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of two alkali catalyzed processes for biodiesel from waste cooking oil","fuel production","biodiesel from waste cooking oil","single","waste","integrated","system","waste (cooking oil), optimise trade-offs between units","optimisation","GA",2,"energy, waste","optimial parameters for biodiesel production processes, investigating trade-offs between different different compnents.","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Modeling and optimization of a periodic process of adsorption and catalytic regeneration",,,,,,,,,,,,"CUT",,,,,"other"
"Design and optimisation of power plant utility systems",,,,,,,,,,,,"CUT",,,,,"other"
"Energy and exergy analysis as tools for optimization of hydrogen production by glycerol autothermal reforming",,,,,,,,,,,,"CUT",,,,,"other"
"ECO-optimization of pre-treatment processes in metal finishing",,,,,,,,,,,,"CUT",,,,,"other"
"The optimal dissolved oxygen profile in a nitrifying activated sludge process - Comparisons with ammonium feedback control",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of power allocation for a hybrid wind-hydro power system",,,,,,,,,,,,"CUT",,,,,"other"
"Binary ORC (Organic Rankine Cycles) power plants for the exploitation of medium-low temperature geothermal sources - Part B: Techno-economic optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of process parameters in electrocoagulation treating chicken industry wastewater to recover hydrogen gas with pollutant reduction",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated optimization for organic Rankine cycle based on entransy theory and thermodynamics",,,,,,,,,,,,"CUT",,,,,"other"
"A decision support framework for evaluation of environmentally and economically optimal retrofit of non-domestic buildings",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal electricity system planning in a large hydro jurisdiction: Will British Columbia soon become a major importer of electricity?",,,,,,,,,,,,"CUT",,,,,"other"
"Modelling and optimisation of dual fluidisation bed gasifiers for production of chemicals",,,,,,,"CUT – too generalised in terms of resources",,,3,"energy, various, waste","CUT",,,"plant (multiple components)","plant (multiple components)","other"
"Many-objective groundwater monitoring network design using bias-aware ensemble Kalman filtering, evolutionary optimization, and visual analytics",,,,,,,,,,,,"CUT",,,,,"other"
"Straw-to-soil or straw-to-energy? An optimal trade off in a long term sustainability perspective",,,,,,,,,,,"energy, various","CUT",,,"Long-term straw to energy prospects.",,"other"
"Optimal electrical load for peak power of a thermoelectric module with a solar electric application",,,,,,,,,,,,"CUT",,,,,"other"
"Statistical analysis and optimization of ammonia removal from landfill leachate by sequential microwave/aeration process using factorial design and response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
